horizon,cum_pos,cum_pos_lo95,cum_pos_hi95,cum_neg,cum_neg_lo95,cum_neg_hi95,asymmetry,asym_lo95,asym_hi95,period_m_pos,period_m_neg,ar_irf_phi
0,-0.3370406645166497,-3.651722375621939,2.9215811817292345,3.052481436042612,-0.411437543451613,6.540813643903337,-3.3895221005592617,-6.612271024346054,0.19446948845069623,-0.3370406645166497,3.052481436042612,1.0
1,-1.6375913024534525,-5.591628640859791,2.4164739714901025,0.11066614293791943,-5.12501797554564,5.055379675653539,-1.748257445391372,-6.600233846625092,3.4159012819700925,-1.3005506379368028,-2.9418152931046926,0.22329569235266256
2,-6.553753866844284,-12.236630377724097,-0.47250331490168995,0.7471497632011148,-6.001298664027322,7.046534830255124,-7.300903630045399,-14.283615648523845,1.0282702036081819,-4.916162564390831,0.6364836202631954,0.47357469880780373
3,-5.827642089080305,-12.992131157597008,2.323964418704121,0.3916417759260824,-8.766372681779542,8.713847460774435,-6.219283865006387,-15.87608951941075,4.509769883748004,0.726111777763979,-0.3555079872750324,0.4456874407805707
4,-8.067609972360739,-16.626240234067424,1.8230803263852124,-0.1397609056090079,-11.265233914172734,10.122178666875731,-7.9278490667517305,-19.990165009126883,5.652184493383733,-2.2399678832804346,-0.5314026815350903,0.35496060644325417
5,-9.46618804660394,-19.289930802564413,2.603741763274216,-0.2529079622163797,-13.397504022250853,11.415056031119962,-9.21328008438756,-24.386036360272218,7.029555609247671,-1.3985780742432004,-0.11314705660737179,0.38428562853847625
6,-10.549454980357009,-21.96800571455588,3.031054696058403,-0.5905514628848421,-15.884867384934328,12.562018958351182,-9.958903517472166,-27.437854646671408,8.616058186868978,-1.0832669337530694,-0.3376435006684624,0.3455500822760841
7,-11.933464707714858,-24.592854072637767,3.08748078474612,-0.8442550827963959,-18.128991306806302,13.715298244853738,-11.089209624918462,-30.798106092948775,9.891869247471044,-1.3840097273578489,-0.2537036199115539,0.32706829235054447
8,-13.044611876353184,-27.45164625396135,3.5014966101691156,-1.0717282014504308,-20.373898819146017,15.000200988759627,-11.972883674902754,-33.46075564835646,11.319626578854157,-1.1111471686383252,-0.22747311865403474,0.31372281919130285
9,-14.144904589786112,-30.156162582840118,3.9389445771296687,-1.3128526760423371,-22.6102512250518,16.25721282138973,-12.832051913743776,-35.97764118812946,12.573262013295198,-1.1002927134329283,-0.24112447459190622,0.29340897674638156
10,-15.20093820384462,-33.35530879695051,4.229836020969308,-1.5253185137388034,-24.444780441911508,17.47261406342569,-13.675619690105817,-38.524503497169285,13.757054909818844,-1.0560336140585083,-0.21246583769646632,0.27868424462099584
11,-16.175549271768578,-36.107010874103935,4.598406009626993,-1.7307342233307914,-26.147866393699356,18.510078059782916,-14.444815048437786,-40.879012140946905,14.91390387412244,-0.9746110679239565,-0.20541570959198796,0.2635150191462077
12,-17.110562958930362,-38.03968633252827,5.018248677685475,-1.9257816551344615,-27.75969989138324,19.453352120276627,-15.184781303795901,-43.17147596944127,16.016021014018754,-0.9350136871617863,-0.19504743180367012,0.24890519528366856
13,-17.99137692741296,-39.85210863503609,5.60962863062969,-2.1084959274160306,-29.286334017991834,20.33713072075629,-15.882880999996932,-45.015317329742736,17.11764217794983,-0.8808139684826001,-0.1827142722815691,0.23560310400061785
14,-18.82333524555426,-41.78263411934749,6.238982631895712,-2.282333491258861,-30.886012175174184,21.32789000052887,-16.5410017542954,-46.75184966519027,18.1145756740876,-0.8319583181412994,-0.17383756384283044,0.22272100378375792
15,-19.611704843639494,-43.61323141270694,6.865683711211161,-2.4464195788858087,-32.659283068529355,22.296280672017435,-17.165285264753685,-49.165373463889075,18.98525758170392,-0.7883695980852319,-0.16408608762694754,0.21062402622231238
16,-20.356343814833114,-45.46221802476581,7.48763452884143,-2.6015413660637967,-34.07220685947994,23.24233541943496,-17.75480244876932,-51.87248481134394,19.803079747471116,-0.7446389711936215,-0.15512178717798786,0.19920114099810168
17,-21.060763185820775,-47.28570965365529,8.106199005128202,-2.7483519347117595,-35.42440273123717,24.00496086796369,-18.312411251109015,-54.408880796497776,20.742216701895376,-0.7044193709876599,-0.14681056864796294,0.18836448000388914
18,-21.72697894501091,-49.247191988774254,8.721792401819567,-2.887116048412496,-36.853098231349314,24.92912202228034,-18.83986289659841,-57.218214136205674,21.783664308680667,-0.6662157591901355,-0.1387641137007366,0.178136954163378
19,-22.35689411060338,-51.51916507009808,9.273073267818082,-3.018362662822441,-38.93617554979779,25.915004547185987,-19.33853144778094,-59.361858985251004,22.80620260248374,-0.6299151655924721,-0.1312466144099449,0.16845920975086764
20,-22.952649169276956,-54.0545134709553,9.655663840142683,-3.142482293923864,-41.05408463266897,26.90155821915774,-19.81016687535309,-61.461194260946726,23.92499691113065,-0.5957550586735738,-0.12411963110142277,0.15930614460657852
21,-23.51602299341475,-56.097531281658426,10.022385602033122,-3.259851221631287,-42.306748216614885,27.785036249777708,-20.256171771783464,-63.350741683547454,25.073027032387795,-0.5633738241377948,-0.11736892770742269,0.15065262520128372
22,-24.048786612521262,-57.77546268437511,10.373922263176365,-3.3708487016113624,-43.50877428090055,28.645718202458102,-20.6779379109099,-65.14400563255019,26.210072977679914,-0.5327636191065095,-0.11099747998007536,0.1424678421368073
23,-24.552614341258856,-58.75817437049052,10.71097812758718,-3.47581465902382,-44.66214368002067,29.47948870312986,-21.076799682235034,-67.57419701109401,27.336357533785,-0.503827728737595,-0.10496595741245784,0.13472810815325775
24,-25.029066861469182,-60.07472403521588,11.043917387161056,-3.5750780050737245,-45.76891984189274,30.1781413312469,-21.45398885639546,-70.08237796534611,28.451727571250984,-0.4764525202103269,-0.09926334604990428,0.12740891369415874
